timestamp,event,TCP_pose,joint_angles,TCP_force
0.39200000000073487,End E3 on D,"[0.3366427797725327, 0.7733347260525341, 0.10394347475198616, -1.369843120996782, -2.336156470273471, 1.3269390394821086]","[-2.218355957661764, -0.10788245618853765, 0.33152944246401006, -0.874729649429657, -1.548042122517721, -2.738141123448507]","[0.788949843951638, -0.2196059388572331, -0.8106771653124383, 0.0516937527335902, 0.11751741577421414, 0.10392317458058435]"
0.4000000000005457,Start D3 on D,"[0.3366506868200058, 0.7733301743931924, 0.10394184443471666, -1.3698552569375704, -2.336187976743931, 1.3269429058530018]","[-2.218367401753561, -0.10787887990985112, 0.331522289906637, -0.8747368615916749, -1.5480802694903772, -2.7381375471698206]","[0.9897368666662694, -0.5277277342328265, -0.733334016819474, 0.05626897169389727, 0.12443304073500186, 0.09655749893046715]"
0.4080000000003565,End D3 on D,"[0.3366484977247107, 0.7733288763584446, 0.10394616804196743, -1.3698215851485518, -2.336200839735015, 1.3269358517758894]","[-2.2183640638934534, -0.10788960874591069, 0.3315365950213831, -0.8747418087771912, -1.5480802694903772, -2.7381604353534144]","[0.068705113920691, -0.0838601682198603, 0.047247518861724264, 0.000981891566357504, -0.0032641254878937906, -4.3452895094628114e-05]"
0.41600000000016735,Start E3 on D,"[0.3366552508461951, 0.7733256262608065, 0.10392898052121496, -1.3698443795076105, -2.336184808392258, 1.3269658258606793]","[-2.218374554310934, -0.10786672056231694, 0.33152944246401006, -0.8747404378703614, -1.5480921904193323, -2.7381446997271937]","[0.20074247410375284, -0.10973046781505176, 0.04174350400668371, 0.0016882356457169324, 0.0019144326850043187, -0.0012475069079357754]"
0.42399999999997817,End E3 on D,"[0.3366345172434807, 0.7733316336274583, 0.10393951573332, -1.3697936390491516, -2.336203886028811, 1.3270007473263665]","[-2.218348805104391, -0.10789437711749272, 0.33156043687929326, -0.8747213643840333, -1.548096005116598, -2.738156859074728]","[0.12291098827658453, -0.19691544441856718, -0.12208987780255662, 0.0013261552357580154, 0.001914542151940406, 0.0013741085080914636]"
0.4320000000006985,Start F#3 on D,"[0.33663660502180304, 0.7733367878798221, 0.10394270420971267, -1.369840748909727, -2.33618838115685, 1.3269381578386181]","[-2.218348805104391, -0.10788245618853765, 0.33152944246401006, -0.8747404378703614, -1.5480616728412073, -2.7381375471698206]","[0.1979547615403612, -0.15418621717113887, -0.03896788166528985, 0.0024891154542834217, 0.0025907377595451343, -0.0006554052509779083]"
0.4400000000005093,End F#3 on D,"[0.3366465630607373, 0.7733333171532522, 0.10394867581870462, -1.3698534529718231, -2.336208794615776, 1.3269102048162038]","[-2.218360726033346, -0.10788245618853765, 0.33151370683778936, -0.8747490805438538, -1.5480769316302698, -2.738141123448507]","[-0.06483897840948509, -0.15363206902703222, -0.15208203967735856, 0.002195413166697533, 0.0012883161703814879, 0.007020040920665593]"
0.5840000000007421,Start D3 on D,"[0.3369043154981828, 0.7728137396317369, 0.10434615100848427, -1.3697766584172875, -2.3362466679624045, 1.3268357736277727]","[-2.2189539114581507, -0.11085362852130132, 0.3367398420916956, -0.8770343822291871, -1.5485242048846644, -2.738567892705099]","[-1.1107781969544728, 1.5626567804046094, -0.5425526581830585, -0.0338978948344615, -0.10894153325865939, -0.1337171830954745]"
0.592000000000553,End D3 on D,"[0.3369358440940132, 0.7727147470013156, 0.10435634762362558, -1.3697225446714278, -2.336188985951702, 1.3269757943268783]","[-2.219051186238424, -0.11135645330462651, 0.33776790300478154, -0.8774525088122864, -1.548608128224508, -2.738636318837301]","[-1.19002091185941, 1.3094530216138476, -0.5430020556343325, -0.040633588584276764, -0.12981908939333756, -0.162111363832512]"
0.6000000000003638,Start transition on D-A,"[0.3370199484039159, 0.7725898117805866, 0.10440826174272594, -1.3697482916244919, -2.3361544288792504, 1.3269895536227327]","[-2.219217602406637, -0.11193855226550298, 0.3388560453998011, -0.877942757015564, -1.5487197081195276, -2.7387166658984583]","[-0.9430805183972761, 1.5877081655125147, -0.7153494471267903, -0.05729640659919599, -0.1457395369510848, -0.18272214368899733]"
