timestamp,event,TCP_pose,joint_angles,TCP_force
87.94399999999996,END d_bow,"[0.3376359436882406, 0.31397962576216165, 0.17200052051974085, -1.6181133413472346, -2.047199660076888, 1.0417400559560908]","[-2.7859137693988245, -1.0068028730205079, 2.056117359791891, -1.7972823582091273, -1.655480686818258, -2.9779396692859095]","[0.15191683950583956, -0.04135813415921803, 0.266728775392033, 0.20343003174718788, 0.03711059725667307, -0.13765103208225463]"
87.96799999999985,START d_bow,"[0.3376318587245206, 0.31395963076699823, 0.1719844537010185, -1.618059868098468, -2.047118655554554, 1.0417818923108193]","[-2.785948101674215, -1.0067837995341797, 2.0561650435077112, -1.7972704372801722, -1.6554654280291956, -2.9779701868640345]","[0.20992983229111087, -0.1533050405381591, 0.28416349058246354, 0.20004608031640814, 0.03497798693867314, -0.13531928794933643]"
88.59199999999987,END d_bow,"[0.34013195028458076, 0.2827548479283626, 0.17587767616053254, -1.6146699563794973, -2.0442648293493932, 1.0422455125445547]","[-2.8486622015582483, -1.036453978424408, 2.102055374776022, -1.8151127300658167, -1.6991756598102015, -3.022351090108053]","[-1.0880184324911912, 0.7945171869786434, 0.9197304550997112, 0.02098370684310702, -0.12664184307543938, -0.34445581566527295]"
88.6239999999998,START d_bow,"[0.3401220727246909, 0.2827895718790642, 0.17587863267852724, -1.6146665755820147, -2.0443282827184395, 1.0422593465356886]","[-2.8485830465899866, -1.0364421171000977, 2.102018181477682, -1.8151089153685511, -1.6991670767413538, -3.0223096052752894]","[-1.0366511287636637, 0.7166706191719698, 1.190274267280697, 0.03366262757046154, -0.12606097366867197, -0.34862009697049845]"
89.87199999999984,END d_bow,"[0.33077968580411476, 0.3997215223878411, 0.16118827746087677, -1.62704733390666, -2.054287245664072, 1.0409829921017444]","[-2.630274836217062, -0.9160198730281373, 1.9074714819537562, -1.7429782352843226, -1.5479534308062952, -2.8672757784472864]","[0.14364678005562276, 0.6851660537872888, 0.32084532435958063, 0.14783427908191665, 0.02859527412757501, -0.11366174738416387]"
89.89599999999996,START d_bow,"[0.3307765003064729, 0.3997127684773611, 0.16118611755967502, -1.6270365093943002, -2.0542694820545897, 1.0410254429910453]","[-2.630286757146017, -0.9160282176784058, 1.9074962774859827, -1.742962499658102, -1.547969166432516, -2.867279354725973]","[0.11830550989226174, 1.179830478603554, 0.5067579008767071, 0.1402358812542165, 0.02410162487389306, -0.11252899108638387]"
90.51999999999998,END d_bow,"[0.33325628517678635, 0.3685428188642123, 0.16506050031762162, -1.6237580650520393, -2.0514120316722284, 1.0415679141214964]","[-2.684009853993551, -0.9503895801356812, 1.9653332869159144, -1.7636128864684046, -1.5847628752337855, -2.905574623738424]","[-0.848893593957446, -1.0541562753088614, 1.2630948012452574, 0.07638077718587807, -0.11829657617731398, -0.3415940212430909]"
90.54399999999987,START d_bow,"[0.3332690890178599, 0.368550319199494, 0.1650856554493061, -1.6237879743336425, -2.051501418660449, 1.0414667955900603]","[-2.684004608784811, -0.9504208129695435, 1.9652851263629358, -1.7636329136290492, -1.5847738424884241, -2.9055901209460657]","[-0.5302180079225717, -0.5453991226074058, 1.3494109506839087, 0.07208214666661897, -0.11712111073551228, -0.3389028396313188]"
91.16799999999989,END d_bow,"[0.33077032836393, 0.3997411296782534, 0.16119779949117047, -1.627090525598858, -2.054353765145618, 1.040997575078757]","[-2.6302385965930384, -0.9160353702357789, 1.9074481169330042, -1.7429782352843226, -1.547993008290426, -2.867227617894308]","[-0.12316992859260684, 1.4216856801556248, 0.34364419427099274, 0.12846803503720017, 0.020860606949454776, -0.11399151197166438]"
91.20799999999986,START d_bow,"[0.3307664471677645, 0.39966643206093877, 0.1612016751821176, -1.6270570829876079, -2.054214242421511, 1.0411136823095293]","[-2.6303587595569056, -0.9161229890635987, 1.9076202551471155, -1.7429315052428187, -1.548032585774557, -2.867286268864767]","[-0.16022793243847044, 0.8943122328059067, 0.5246836602570221, 0.1394120624229763, 0.017714616812656566, -0.12409836681563592]"
91.82399999999984,END d_bow,"[0.3332667984143193, 0.3685453004184921, 0.16509487254124697, -1.6238540984935301, -2.0514648873485752, 1.0414920324350052]","[-2.6840208212481897, -0.9504566949656983, 1.9653084913836878, -1.763616224328512, -1.5847871939288538, -2.905543629323141]","[-0.7453221046199903, -0.6510739748431447, 1.1695695231473453, 0.06798956465800066, -0.11849961000871509, -0.33667770675189457]"
91.84799999999996,START d_to_g,"[0.33326480387300594, 0.36856380536957944, 0.16509104025594268, -1.6237783157057095, -2.0515408978635423, 1.041508821649035]","[-2.683977190648214, -0.9504255813411255, 1.9652617613421839, -1.7636004887022914, -1.5848029295550745, -2.905574623738424]","[-0.6243299143731345, -0.7343268750363947, 1.2737855342668045, 0.07358394015793834, -0.12007162579714564, -0.3430755193797326]"
93.61599999999999,START g_bow,"[0.18436666043098782, 0.2916975359464907, 0.06793682381484242, -1.9074292914640973, -1.9330790493485306, 0.5437451785040981]","[-2.7254326979266565, -0.7647206348231812, 2.4431713263141077, -2.7421800098814906, -1.372007195149557, -2.784196917210714]","[0.1738354332830416, 0.8992212394290592, -0.5166749833311525, 0.15657989904799804, 0.015958221658135475, -0.23103239088606753]"
94.23999999999978,END g_bow,"[0.19222958631312687, 0.32357894667130493, 0.07084533678381803, -1.8995585059128435, -1.9336423768905482, 0.5399703033974943]","[-2.6551793257342737, -0.7765682500651856, 2.369500223790304, -2.6694799862303675, -1.3332060019122522, -2.7270575205432337]","[0.24763450757145988, 0.1656267479092432, -0.027045550233394222, 0.1447559901283682, 0.014220649214019032, -0.12514151161027312]"
94.2639999999999,START g_to_d,"[0.19222210600081546, 0.3235763022872544, 0.07084770338798752, -1.8995551580137175, -1.9336598974795036, 0.539995387201903]","[-2.655175749455587, -0.7765801709941407, 2.369519297276632, -2.66947664837026, -1.3332255522357386, -2.72706109682192]","[0.7449858759166642, 0.5513483189073668, -0.0008823660823357171, 0.13273375168600715, 0.021519285419562013, -0.12057667375363629]"
